id;Запрос;Ожидаемый артикул
1;серебряная свечка цифра 7;С-3318
2;свечка на торт золотая пятёрка;С-4244
3;насос для шариков красный;РУН-13119
4;конверт для денег на свадьбу;ЗСС-0143
5;коробка под кружку;КОР-9789
6;гирлянда метиоритный дождь;НУ-10063
7;мишура золотая;ЕУ-256
8;пакет под бутылку бордовый;ППК-4010
9;тарелки динозавры;ТМ-2285
10;бумага упаковочная крафт;БУ-813
11;наполнитель сизаль зелёный;НБ-2369
12;хлопушка с золотым конфетти;ДК-1187
13;скатерть единорог;ТМ-4219
14;шар цифра 1 золото фольга;ШВ-11160
15;гирлянда занавес 3 на 2;НУ-10295
16;открытка с днем свадьбы;ОТ-1152
17;лента атласная золотая;ЛН-333
18;зелёная бумажная стружка, чтобы заполнить коробку с подарком;НБ-2146
19;куда положить деньги маме на день рождения;ЗСС-0177
20;чем надуть шарики без гелия;ШВ-9209
21;большой матовый пакет с маками;ППК-2020
22;салфетки с единорогом;ТМ-3862
23;гирлянда на ёлку;НУ-9743
24;тарелки на детский праздник;ТМ-2021
25;конвертик для денег новосёлам;ЗСС-0310
26;во что упаковать бутылку вина в подарок, крафт;ППК-3995
27;как красиво запустить шары в конце праздника;ШВ-14491
28;чем приклеить шарики к стене;ШВ-14267
29;звёздочка на макушку ёлки;ЕУ-200
30;лампочки на батарейках для декора стола, метра два;НУ-11045
