Артикул;Категория;Наименование;Цена;Остаток
С-3246;02. Праздник / Свечи для торта;Свеча для торта Фейерверк, 1 шт.;85.0;682
ВУР-53171;01. Упаковка / Пакеты полиэтиленовые;Пакет полиэтиленовый петлевой Ажур 40х50 см / 70 мкм;9.3;3198
НБ-2146;01. Упаковка / Наполнители;Наполнитель бумажный Интенсив зеленый, 100 г, ширина 2 мм;96;307
ТМ-2884;03. Праздник / Сервировка стола;Бумажные тарелки Крафт без рисунка, 18 см, 10 шт.;44.0;372
ТМ-3004;03. Праздник / Сервировка стола;Бумажные тарелки Новогодняя ночь, 23 см, 6 шт.;55.0;71
ТМ-2285;03. Праздник / Сервировка стола;Бумажные тарелки Динозавры, 23 см, 6 шт.;55.0;825
ППК-2639;01. Упаковка / Пакеты подарочные;Optima Пакет подарочный глянц.лам. 11,5х14,5х6 см (S) Гоночная машина, 128г;27.3;833
ППК-2097;01. Упаковка / Пакеты подарочные;Dream Cards Пакет подарочный глянц.лам. 22х31х10 см (ML) Яркий леопард, 157г;52.5;1429
С-2932;02. Праздник / Свечи для торта;Свечи для торта на пиках Динозавры, 5 шт.;39.5;815
ТМ-2021;03. Праздник / Сервировка стола;Бумажные тарелки Звери на шариках, 18 см, 6 шт., флоупак;47.0;725
ВУР-57704;01. Упаковка / Пакеты полиэтиленовые;Пакет полиэтиленовый петлевой Черный матовый 40х50 см / 90 мкм;15.9;561
ВУР-55005;01. Упаковка / Пакеты полиэтиленовые;Пакет полиэтиленовый майка Без рисунка 30х55 см / 18 мкм;8.2;479
ТМ-4326;03. Праздник / Сервировка стола;Скатерть полиэтиленовая Динозавры, 130х180 см;95.0;693
БУ-1034;01. Упаковка / Бумага упаковочная;Бумага упаковочная Золотые точки 70х100 см, 1 лист;23.7;1798
ДК-729;03. Праздник / Декор;Гирлянда бумажная помпоны розовые, 3 м;180.0;476
ТМ-3184;03. Праздник / Сервировка стола;Стаканы бумажные Звери на шариках, 250 мл, 6 шт.;42.0;338
ТМ-3862;03. Праздник / Сервировка стола;Салфетки бумажные Единорог, 33х33 см, 20 шт.;60.0;334
ТМ-2432;03. Праздник / Сервировка стола;Бумажные тарелки Футбол, 18 см, 6 шт.;47.0;703
ТМ-4535;03. Праздник / Сервировка стола;Трубочки бумажные Золотая полоса, 25 шт.;65.0;308
ППК-2602;01. Упаковка / Пакеты подарочные;Dream Cards Пакет подарочный мат.лам. 11,5х14,5х6 см (S) Совушки, 190г;24.5;570
ЛН-333;01. Упаковка / Ленты и банты;Лента атласная золотая 2,5 см х 25 м;37.5;862
ВУР-53542;01. Упаковка / Пакеты полиэтиленовые;Пакет полиэтиленовый вырубной Розы 30х40 см / 50 мкм;17.0;3727
ШВ-11261;03. Праздник / Воздушные шары;Шар фольгированный Цифра 5 серебро, 86 см;165.0;571
КОР-8346;01. Упаковка / Коробки;Набор коробок 10 в 1 прямоугольные с тиснением Крафт без рисунка;480;252
ТМ-4060;03. Праздник / Сервировка стола;Салфетки бумажные Золотые точки, 33х33 см, 20 шт.;62.0;567
ТМ-2142;03. Праздник / Сервировка стола;Бумажные тарелки Единорог, 18 см, 6 шт.;49.0;1
ЛН-479;01. Упаковка / Ленты и банты;Бант подарочный серебряный 10 см;90.6;2830
ШВ-10309;03. Праздник / Воздушные шары;Шары латексные пастель розовые, 30 см (100 шт/уп);320.0;466
ШВ-12458;03. Праздник / Воздушные шары;Шар фольгированный Единорог фигура, 90 см;210.0;56
ТМ-4380;03. Праздник / Сервировка стола;Скатерть полиэтиленовая золотая, 130х180 см;88.0;630
